Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET EmailDomainAllowlistRestController.setWithPost,YES,,,,,,,YES
GET ApplicationMetadataFilterRestController.getFiltersByOrganization,,,,,,,,
POST ApplicationMetadataFilterRestController.getFiltersByOrganizationV2,,,,,,,,
GET MetadataRestController.getFieldsByOrg,,,,,,,,
GET MetadataRestController.getValuesByOrganization,,,,,,,,
GET MetadataRestController.getValuesByApp,,,,,,,,
GET MetadataRestController.getOrganizationSettings,,,,,,,,
GET SessionMetadataFilterRestController.getFiltersByOrganization,,,,,,,,
POST SessionMetadataFilterRestController.getFiltersByOrganizationV2,,,,,,,,
GET UserProvidedApplicationMetadataRestController.getFieldValue,,,,,,,,
GET UserProvidedApplicationMetadataRestController.getAll,,,,,,,,
GET UserProvidedApplicationMetadataRestController.delete,,,,,,,,
GET UserProvidedApplicationMetadataRestController.setWithPut,,,,,,,,
GET UserProvidedApplicationMetadataRestController.setWithPost,,,,,,,,
GET DatabaseVolumetricsRestController.triggerDatabaseVolumetricTask,,,,,,,,
GET NgSetupOnboardingRestController.getSetupOnboardingSteps,,,,,,,,
GET NgUserOnboardingTutorialRestController.getViewedTutorials,,,,,,,,
POST NgUserOnboardingTutorialRestController.markAsViewed,,,,,,,,
GET SourceNameRestController.get,,,,,,,,
GET SourceNameRestController.getByOrganization,,,,,,,,
GET SourceNameRestController.create,,,,,,,,
GET SourceNameRestController.update,,,,,,,,
GET SourceNameRestController.delete,,,,,,,,
GET ReportDownloadController.downloadReport,,,,,,,,
POST ReportDownloadRestController.downloadReport,,,,,,,,
GET ReportingStatusRestController.getStatus,,,,,,,,
GET AttestationReportRestController.submit,,,,,,,,
GET AttestationReportRestController.getAttestationInfo,,,,,,,,
GET VulnerabilityRemediationSummaryRestController.getReport,,,,YES,,,,YES
GET SarifRestController.getSarifResults,,,,,,,,
GET IntegrationsRestController.helloWorld,,,,,,,,
GET NgAccessGroupsRestController.getQuickFilters,YES,,,,,,,YES
GET NgAccessGroupsRestController.getGroups,YES,,,,,,,YES
GET NgAccessGroupsRestController.getGroupsBase,YES,,,,,,,YES
GET NgAccessGroupsRestController.getGroup,YES,,,,,,,YES
