Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET NgGlobalRestController.getTimezones,,,,,,,,
GET NgGlobalRestController.getDefaultAbsoluteTimeout,,,,,,,,
GET NgGlobalRestController.getDefaultIdleTimeout,,,,,,,,
GET NgGlobalRestController.getDefaultTimeouts,,,,,,,,
GET NgGlobalRestController.getProgressTaskMap,,,,,,,,
GET NgGlobalRestController.getTeamserverProperties,,,,,,,,
GET NgGlobalRestController.getCategoriesRules,,,,,,,,
GET NgGlobalRestController.getAuthSettings,,,,,,,,
GET NgGlobalRestController.getAuthSettings,,,,,,,,
GET NgPasswordPolicyRestrictionsRestController.getPasswordPolicyRestrictions,,,,,,,,
GET NgAttackHistoryRestController.getHistoryAttacks,,,,,,,,
GET NgHistoryRestController.getSnapshotScores,,,,,,,,
GET NgHistoryRestController.getSnapshotScoresInterval,,,,,,,,
GET NgHistoryRestController.getSnapshotScoresWithDefenseInterval,,,,,,,,
GET IntegrationsApplicationRestController.createApplication,,YES,,,,,,YES
GET IntegrationsApplicationRestController.getApplication,,,,,,,,
GET NgSCWIntegrationDiagnosticsRestController.createDiagnosticEvent,YES,,,,,,,YES
GET NgJobOutcomePolicyRestController.createJobOutcomePolicy,YES,,,,,,,YES
GET NgJobOutcomePolicyRestController.getPolicy,YES,,,,,,,YES
GET NgJobOutcomePolicyRestController.getEnabledPoliciesNoFillApp,,,,,,,,
GET NgJobOutcomePolicyRestController.getEnabledPoliciesByApplicationNoFillApp,,,,,,,,
GET NgJobOutcomePolicyRestController.getPolicies,YES,,,,,,,YES
GET NgJobOutcomePolicyRestController.deleteJobOutcomePolicy,YES,,,,,,,YES
GET NgJobOutcomePolicyRestController.editJobOutcomePolicy,YES,,,,,,,YES
GET NgLanguageRestController.getAgentLanguages,,,,,,,,
GET NgLibrariesRestController.getLibrariesQuickFilters,,,,,,,,
GET NgLibrariesRestController.getOrgLibrariesByFilters,,,,,,,,
POST NgLibrariesRestController.getOrgLibrariesByFiltersV2,,,,,,,,
PUT NgLibrariesRestController.getLibrariesByNames,,,,YES,,,,YES
GET NgLibrariesRestController.getOrgLibraries,,,,,,,,
GET NgLibrariesRestController.getLibrariesStats,,,,,,,,
GET NgLibrariesRestController.getLibrariesScoreBreakdown,,,,,,,,
GET NgLibrariesRestController.getLibrariesOutOfDateBreakdown,,,,,,,,
GET NgLibrariesRestController.getLibrary,,,,,,,,
GET NgLibrariesRestController.getFiltersTypes,,,,,,,,
POST NgLibrariesRestController.getFiltersTypesV2,,,,,,,,
POST NgLibrariesRestController.exportLibraries,,,,,,,,
POST NgLibrariesRestController.sendToBugtrackers,,YES,,,,,,YES
POST NgLibrariesRestController.shareLibrariesViaEmail,,YES,,,,,,YES
POST NgLibrariesRestController.shareLibrariesViaEmailByFilters,,YES,,,,,,YES
PUT NgLibrariesRestController.getArtifactsByGroupNameVersion,,,,,,,,
PUT NgLibrariesRestController.updateLibraryStatus,YES,YES,,,,,,YES
DELETE NgLibrariesRestController.deleteLibraryStatus,YES,YES,,,,,,YES
GET NgLibraryFilterListingRestController.getFilters,,,,,,,,
GET NgLibraryPolicyRestController.getLibraryPolicy,,,,,,,,
GET NgLibraryPolicyRestController.getLibrariesPolicy,,,,YES,,,,YES
GET NgLibraryPolicyRestController.getLibraryLicensesPolicy,,,,YES,,,,YES
GET NgLibraryPolicyRestController.saveLibraryPolicy,,,,YES,,,,YES
GET NgContrastLicenseRestController.isLicenseActive,,,,,,,,
GET NgLicensesRestController.getOrgAssessmentLicenseBreakdown,,,,,,,,
GET NgLicensesRestController.applyLicense,YES,,,,,,,YES
GET NgLicensesRestController.getOrganizationLicensesBreakdown,YES,,,,,,,YES
GET NgLicensesRestController.getUpcomingExpiredAssessmentLicenses,YES,,,,,,,YES
GET NgLicensesRestController.updateAutoLicensingForAssessment,YES,,,,,,,YES
GET NgLicensesRestController.updateServerEnvironmentAutoLicensingForProtection,YES,,,,,,,YES
GET NgModulesRestController.getModules,,,,,,,,
GET NgModulesRestController.getApplicationModules,,,,,,,,
GET NgModulesRestController.mergeApplications,,YES,,,,,,YES
GET NgModulesRestController.unmergeApplication,,YES,,,,,,YES
GET NgModulesRestController.unmergeAllApplications,,YES,,,,,,YES
PUT NgNotificationDigestSettingsRestController.updateOrganizationViolationDigestSettings,YES,,,,,,,YES
PUT NgNotificationDigestSettingsRestController.updateUserViolationDigestSettings,,,,,,,,
GET NgNotificationOrganizationSettingsRestController.getNotificationOrganizationSettings,YES,,,,,,,YES
GET NgNotificationOrganizationSettingsRestController.updateNotificationActivitySummary,YES,,,,,,,YES
GET NgNotificationOrganizationSettingsRestController.updateNotificationTypeTrigger,YES,,,,,,,YES
GET NgNotificationOrganizationSettingsRestController.clearNotificationTypeTrigger,YES,,,,,,,YES
GET NgNotificationOrganizationSettingsRestController.updateNotifyOnChangeStatus,YES,,,,,,,YES
GET NgNotificationOrganizationSettingsRestController.updateNotificationChannel,YES,,,,,,,YES
GET NgNotificationRestController.getNotifications,,,,,,,,
GET NgNotificationRestController.countUnreadNotifications,,,,,,,,
GET NgNotificationRestController.getNewNotifications,,,,,,,,
GET NgNotificationRestController.changeNotificationsStatus,,,,,,,,
GET NgNotificationRestController.markAllAsRead,,,,,,,,
GET NgNotificationUserSettingsRestController.getNotificationOrganizationSettings,,,,,,,,
GET NgNotificationUserSettingsRestController.updateNotificationActivitySummary,,,,,,,,
GET NgNotificationUserSettingsRestController.updateNotificationType,,,,,,,,
GET NgNotificationUserSettingsRestController.cleanNotificationType,,,,,,,,
GET NgNotificationUserSettingsRestController.updateNotifyOnChangeStatus,,,,,,,,
GET NgNotificationUserSettingsRestController.updateNotificationChannel,,,,,,,,
GET NgNotificationUserSettingsRestController.updateApplicationSubscription,,,,,,,,
GET NgNotificationUserSettingsRestController.removeApplicationSubscription,,,,,,,,
GET NgNotificationUserSettingsRestController.restoreDefaultSettings,,,,,,,,
GET NgOrganizationApplicationSettingsRestController.getApplicationSettings,,YES,,,,,,YES
GET NgOrganizationApplicationSettingsRestController.updateApplicationSettings,,YES,,,,,,YES
GET NgOrganizationApprovalWorkflowRestController.getApprovalWorkflowConfiguration,YES,,,,,,,YES
PUT NgOrganizationApprovalWorkflowRestController.updateApprovalWorkflowSettings,YES,,,,,,,YES
GET NgOrganizationApprovalWorkflowRestController.getTotalPendingStatusTraces,,,,YES,,,,YES
POST NgOrganizationApprovalWorkflowRestController.resolvePendingStatus,,,,YES,,,,YES
POST NgOrganizationApprovalWorkflowRestController.resolvePendingStatusByFilters,,,,YES,,,,YES
POST NgOrganizationApprovalWorkflowRestController.evaluateTracesForApprovalWorkflow,,,,,,,,
POST NgOrganizationApprovalWorkflowRestController.evaluateTracesByFiltersForApprovalWorkflow,,,,,,,,
GET NgOrganizationAuthorizationRestController.authorizationInfo,,,,,,,,
GET NgOrganizationFeatureRestController.isFeatureEnabledForOrganization,,,,,,,,
GET NgOrganizationRestController.getOrganization,,,,,,,,
GET NgOrganizationRestController.editOrganizationInformation,YES,,,,,,,YES
GET NgOrganizationRestController.getScoringPolicy,,,,,,,,
GET NgOrganizationRestController.updateScoringPolicy,,,,YES,,,,YES
GET NgOrganizationRestController.getApplicationRoles,,,,,,,,
GET NgOrganizationRestController.getApiKey,YES,,,,,,,YES
GET NgOrganizationRestController.getAdministrators,YES,,,,,,,YES
GET NgOrganizationRestController.getServerToRestart,,,,,,,,
GET NgOrganizationRestoreSessionRestController.restoreSuperadminSession,,,,,,,,
GET NgOrganizationServerSettingsRestController.getServerSettings,,YES,,,,,,YES
GET NgOrganizationServerSettingsRestController.getServerSettingsByEnvironment,,YES,,,,,,YES
GET NgOrganizationServerSettingsRestController.editServerSettings,,YES,,,,,,YES
GET NgOrganizationServerSettingsRestController.toggleAssessSettings,YES,,,,,,,YES
GET NgOrganizationServerSettingsRestController.toggleDefendSettings,YES,,,,,,,YES
GET NgOrganizationServerSettingsRestController.toggleBotProtectionSettings,YES,,,,,,,YES
GET NgOrganizationServerSettingsRestController.editSyslogServerSettings,YES,,,,,,,YES
GET NgOrganizationServerlessRestController.getServerlessUserKeys,YES,,,,,,,YES
GET NgOrganizationSettingsRestController.getAIMLSettings,,,,,,,,
PUT NgOrganizationSettingsRestController.updateAIMLSettings,,YES,,,,,,YES
GET NgOrganizationSettingsRestController.getSettings,,,,,,,,
GET NgOrganizationSettingsRestController.updateDiagnostics,,YES,,,,,,YES
GET NgOrganizationStatsRestController.getOrgApplicationStats,,,,,,,,
GET NgOrganizationStatsRestController.getOrgLibraryStats,,,,,,,,
GET NgOrganizationStatsRestController.getOrgServerStats,,,,,,,,
GET NgOrganizationStatsRestController.getOrgTraceStats,,,,,,,,
GET NgOrganizationStatsRestController.getOrgLicensesStats,YES,,,,,,,YES
GET NgOrganizationStatsRestController.getOrgLicenseHistory,YES,,,,,,,YES
GET NgOrganizationStatsRestController.getOrgAppBreakdownStats,YES,,,,,,,YES
GET NgOrganizationStatsRestController.getOrgApplicationsDrilldown,YES,,,,,,,YES
GET NgOrganizationStatsRestController.getOrgServerBreakdownStats,YES,,,,,,,YES
GET NgOrganizationalTsvRestController.getOrgTsv,,,,,,,,
PUT NgOrganizationalTsvRestController.editTsvSettings,YES,,,,,,,YES
GET NgOrganizationalTsvRestController.getTsvScreenValues,,,,,,,,
PUT NgOrganizationalTsvRestController.sendTsvEmailToAdmins,,,,,,,,
GET NgPasswordPolicyRestController.getOrganizationPasswordPolicy,,,,,,,,
GET NgPasswordPolicyRestController.getAdditivePasswordPolicy,,,,,,,,
GET NgPasswordPolicyRestController.editPasswordPolicy,YES,,,,,,,YES
GET NgReportSettingsRestController.getReportSettings,YES,,,,,,,YES
GET NgReportSettingsRestController.editReportSettings,YES,,,,,,,YES
GET NgTSVRestController.getOrganizationTsvSettings,,,,,,,,
GET NgTSVRestController.editTsvSettings,YES,,,,,,,YES
GET NgCompliancePolicyRestController.getRemediationPolicies,,,,,,,,
GET NgCompliancePolicyRestController.toggleCompliancePolicyStatus,,,,YES,,,,YES
GET NgCompliancePolicyRestController.getCompliancePolicy,,,,YES,,,,YES
GET NgCompliancePolicyRestController.createCompliancePolicy,,,,YES,,,,YES
GET NgCompliancePolicyRestController.updateCompliancePolicy,,,,YES,,,,YES
GET NgCompliancePolicyRestController.deleteCompliancePolicy,,,,YES,,,,YES
GET NgRemediationPolicyRestController.getRemediationPolicies,,,,YES,,,,YES
GET NgRemediationPolicyRestController.getRemediationPolicy,,,,YES,,,,YES
GET NgRemediationPolicyRestController.createRemediationPolicy,,,,YES,,,,YES
GET NgRemediationPolicyRestController.updateRemediationPolicy,,,,YES,,,,YES
GET NgRemediationPolicyRestController.deleteRemediationPolicy,,,,YES,,,,YES
GET NgRemediationPolicyRestController.toggleRemediationPolicyStatus,,,,YES,,,,YES
GET NgPivotalResourcesRestController.createPivotalOrganization,,,,,,,,
GET NgPivotalResourcesRestController.getPivotalOrganization,,,,,,,,
GET NgPivotalResourcesRestController.createPivotalBinding,,,,,,,,
GET NgPivotalResourcesRestController.deletePivotalOrganization,,,,,,,,
GET NgCurrentUserController.getCurrentUserDetails,,,,,,,,
GET NgProfileRestController.getCurrentUserInformation,,,,,,,,
GET NgProfileRestController.updateCurrentUser,,,,,,,,
GET NgProfileRestController.updateCurrentUserPassword,,,,,,,,
GET NgProfileRestController.validateCurrentUserPassword,,,,,,,,
GET NgProfileRestController.updateExpiredPassword,,,,,,,,
GET NgProfileRestController.getUserRoles,,,,,,,,
GET NgProfileRestController.toggleToAdminPortal,,,,,,,,
GET NgProfileRestController.getRegisteredOrganizations,,,,,,,,
GET NgProfileRestController.getDefaultOrganization,,,,,,,,
GET NgProfileRestController.getOrganization,,,,,,,,
GET NgProfileRestController.getUserPasswordPolicy,,,,,,,,
GET NgProfileRestController.markDefaultOrganization,,,,,,,,
GET NgProfileRestController.rotateUserServiceKey,,,,,,,,
GET NgProfileRestController.getUserKeys,,,,,,,,
GET NgAlertAttacksRestController.getAlertAttacks,,YES,,,,,,YES
GET NgAlertAttacksRestController.getAlert,,YES,,,,,,YES
GET NgAlertAttacksRestController.deleteAlertAttack,,YES,,,,,,YES
GET NgAlertAttacksRestController.addAlertAttack,,YES,,,,,,YES
GET NgAlertAttacksRestController.editAlertAttack,,YES,,,,,,YES
GET NgAlertAttacksRestController.updateAlertStatus,,YES,,,,,,YES
GET NgAlertAttacksRestController.getAlertAttacksTriggers,,YES,,,,,,YES
GET NgOrganizationAlertsRestController.getOrganizationAlerts,,YES,,,,,,YES
GET NgRaspIPBlacklistRestController.getBlacklist,,,,,,,,
GET NgRaspIPBlacklistRestController.getWhitelist,,,,,,,,
GET NgRaspIPBlacklistRestController.getAddress,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.updateIPAddressStatus,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.deleteAddress,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.editAddress,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.createAddress,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.createBlackListFromAttack,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.createBlackListFromEvent,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.checkName,,,,YES,,,,YES
GET NgRaspIPBlacklistRestController.checkNameUpdate,,,,YES,,,,YES
GET NgLogEnhancerOrganizationRestController.getLogEnhancers,,,,,,,,
GET NgLogEnhancerOrganizationRestController.getLogEnhancers,,,,YES,,,,YES
POST NgLogEnhancerOrganizationRestController.editEnabled,,,,YES,,,,YES
DELETE NgLogEnhancerOrganizationRestController.deleteLogEnhancers,,,,YES,,,,YES
POST NgLogEnhancerOrganizationRestController.editLogEnhancers,,,,YES,,,,YES
PUT NgLogEnhancerOrganizationRestController.createLogEnhancer,,,,YES,,,,YES
GET NgLogEnhancerOrganizationRestController.getLogEnhancerQuickFilters,,,,,,,,
GET NgVirtualPatchRestController.getPatches,,,,,,,,
GET NgVirtualPatchRestController.getPatch,,,,YES,,,,YES
GET NgVirtualPatchRestController.editAssessSettings,,,,YES,,,,YES
GET NgVirtualPatchRestController.deletePatch,,,,YES,,,,YES
GET NgVirtualPatchRestController.editPatch,,,,YES,,,,YES
GET NgVirtualPatchRestController.createPatch,,,,YES,,,,YES
GET NgVirtualPatchRestController.createPatchFromSample,,,,YES,,,,YES
GET NgVirtualPatchRestController.getVirtualPatchQuickFilters,,,,,,,,
GET NgAttackNotesRestController.getAttackNotes,,,,,,,,
GET NgAttackNotesRestController.addNote,,YES,,,,,,YES
GET NgAttackNotesRestController.editAttackNote,,YES,,,,,,YES
GET NgAttackNotesRestController.deleteAttackNote,,YES,,,,,,YES
GET NgAttackNotesRestController.countReadMessages,,,,,,,,
GET NgAttackNotesRestController.updateAttackNotesLastViewed,,,,,,,,
GET NgAttackRestController.getAttacks,,,,,,,,
POST NgAttackRestController.getAttacksV2,,,,,,,,
GET NgAttackRestController.getAttacksUUIds,,,,,,,,
POST NgAttackRestController.getAttacksUUIdsV2,,,,,,,,
GET NgAttackRestController.getAttack,,,,,,,,
GET NgAttackRestController.getActiveAttackSummary,,,,,,,,
GET NgAttackRestController.getTopAttacks,,,,,,,,
GET NgAttackRestController.exportToXML,,,,YES,,,,YES
GET NgAttackRestController.exportToCSV,,,,YES,,,,YES
GET NgAttackRestController.getAttackQuickFilters_Deprecated,,,,,,,,
GET NgAttackRestController.getAttacksFilters,,,,,,,,
GET NgAttackRestController.getFiltersTypes,,,,,,,,
POST NgAttackRestController.getFiltersTypesV2,,,,,,,,
GET NgAttackRestController.suppressAttack,,,,,,,,
POST NgAttackEventRestController.getAttackEvents,,,,,,,,
GET NgRaspEventListingRestController.getFilters,,,,,,,,
GET NgRaspEventsRestController.getFiltersTypes,,,,,,,,
POST NgRaspEventsRestController.getFiltersTypesV2,,,,,,,,
GET NgRaspEventsRestController.getEventQuickFilters,,,,,,,,
POST NgRaspEventsRestController.getEventQuickFiltersV2,,,,,,,,
GET NgRaspEventsRestController.getNewEvents,,,,,,,,
POST NgRaspEventsRestController.getNewEventsV2,,,,,,,,
GET NgRaspEventsRestController.getAttackOverviewEvents,,,,,,,,
GET NgRaspEventsRestController.getEventSummary,,,,,,,,
GET NgRaspEventsRestController.getEventNotes,,,,,,,,
GET NgRaspEventsRestController.addNote,,YES,,,,,,YES
GET NgRaspEventsRestController.editEventNote,,YES,,,,,,YES
GET NgRaspEventsRestController.deleteEventNote,,YES,,,,,,YES
GET NgRaspEventsRestController.countReadMessages,,,,,,,,
GET NgRaspEventsRestController.updateEventNotesLastViewed,,,,,,,,
GET NgRaspEventsRestController.suppressEvent,,,,,,,,
GET NgRaspEventsRestController.exportEventUserInputValue,,,,,,,,
GET NgRaspThreatsRestController.getTraffic,,,,,,,,
GET NgRaspLicensesRestController.getOrgProtectionLicenseBreakdown,,,,YES,,,,YES
GET NgRaspLicensesRestController.applyLicense,YES,,,,,,,YES
GET NgRaspLicensesRestController.removeLicense,YES,,,,,,,YES
GET NgRaspLicensesRestController.getUpcomingExpiredProtectionLicenses,YES,,,,,,,YES
GET NgRaspLicensesRestController.getOrgProtectLicensesUsage,YES,,,,,,,YES
GET NgRaspLicensesRestController.getOrgProtectLicensesUsageOldestDate,YES,,,,,,,YES
POST NgAttackEmailNotificationRestController.sendAttackEmailNotification,,,,,,,,
GET NgAttackMonitorRestController.getTopAttackers,,,,,,,,
GET NgAttackMonitorRestController.getTopEvents,,,,,,,,
GET NgAttackMonitorRestController.getTopApplications,,,,,,,,
GET NgAttackMonitorRestController.getStats,,,,,,,,
GET NgAttackMonitorRestController.getFilter,,,,,,,,
GET NgAttackMonitorRestController.getTimeline,,,,,,,,
GET NgProtectionPolicyRestController.getProtectionPolicies,,,,,,,,
GET NgProtectionRulesRestController.getProtectionRules,,,,,,,,
GET NgProtectionRulesRestController.getCveShields,,,,,,,,
GET NgProtectionRulesRestController.getRules,,,,,,,,
GET NgProtectionRulesRestController.getRule,,,,YES,,,,YES
POST NgProtectionRulesRestController.editProtectionConfigLevel,,,,,,,,
GET NgProtectionRulesRestController.editProtectionLevel,,,,YES,,,,YES
POST NgProtectionRulesRestController.editCveShieldOrgDefaultProtectionLevel,,,,,,,,
GET NgProtectionRulesRestController.updateAlertStatus,,,,YES,,,,YES
GET NgProtectionRulesRestController.getProtectionRulesSummary,,,,,,,,
GET NgProtectionRulesRestController.getProtectionRuleBreakdown,,,,YES,,,,YES
GET NgProtectionRulesRestController.getProtectionRuleQuickFilters,,,,YES,,,,YES
GET NgProtectionRulesRestController.getCveShieldsSummary,,,,,,,,
GET NgProtectionRulesRestController.getCveShieldBreakdown,,,,YES,,,,YES
GET NgProtectionRulesRestController.getCveShieldFilters,,,,YES,,,,YES
GET NgProtectionRulesRestController.getProtectionRulesPolicyQuickFilters,,,,,,,,
GET NgRaspUsersRestController.updateRASPAccess,YES,,,,,,,YES
GET NgRaspUsersRestController.getRaspUsersBase,YES,,,,,,,YES
GET NgRolesRestController.getRoles,,,,,,,,
GET NgRulesRestController.calculateSeverityValue,,,,,,,,
GET NgRulesRestController.getRulesData,,,,,,,,
GET NgRulesRestController.getRulesBase,,,,,,,,
GET NgRulesRestController.getRuleCustomization,,,,YES,,,,YES
GET NgRulesRestController.updateRuleStatus,,,,YES,,,,YES
GET NgRulesRestController.restoreDefaults,,,,YES,,,,YES
GET NgRulesRestController.updateRule,,,,YES,,,,YES
GET NgRulesRestController.getValidEnabledRulesForControls,,,,,,,,
GET NgRulesRestController.getRulesPolicyQuickFilters,,,,,,,,
GET NgRulesRestController.getAssessRuleDrilldown,,,,YES,,,,YES
GET NgRulesRestController.getRulesDrilldownQuickFilters,,,,,,,,
GET NgPublicSamlUserRestController.redirectToIdentityProvider,,,,,,,,
GET NgPublicSamlUserRestController.getPublicNodeMetadata,,,,,,,,
GET NgPublicSamlUserRestController.getPublicNodeUrl,,,,,,,,
GET NgSamlRestController.getSamlConfig,,,,,,,,
GET NgSamlRestController.addSamlConfig,,,,,,,,
GET NgSamlRestController.editSamlConfig,,,,,,,,
GET NgSamlRestController.deleteSamlConfig,,,,,,,,
GET NgSamlRestController.verifySamlConfig,,,,,,,,
GET NgScoresRestController.getScoresData,,,,,,,,
GET NgScoresRestController.getScoresDataIncludeDefense,,,,,,,,
GET NgScoresRestController.getPlatformScoreData,,,,,,,,
GET NgScoresRestController.getPlatformScoreDataIncludeDefense,,,,,,,,
GET NgScoresRestController.getSecurityScoreData,,,,,,,,
GET NgScoresRestController.getSecurityScoreDataIncludeDefense,,,,,,,,
GET NgScoresRestController.getVulnerabilityBreakdownData,,,,,,,,
GET NgScoresRestController.getRuleTitleBreakdownData,,,,,,,,
GET NgScoresRestController.getRuleCategoryBreakdownData,,,,,,,,
GET NgScoresRestController.getRuleSeverityBreakdownData,,,,,,,,
GET NgScoresRestController.getTraceStatusBreakdownData,,,,,,,,
GET NgScoresRestController.getServerTypeBreakdownData,,,,,,,,
GET NgScoresRestController.applicationsByGradeData,,,,,,,,
GET NgScoresRestController.getVulnerabilityBreakdownEnvSeverity,,,,,,,,
GET NgScoresRestController.getVulnerabilityBreakdownEnvStatus,,,,,,,,
GET NgScoresRestController.getVulnerabilityBreakdownRuleType,,,,,,,,
GET NgScoresRestController.attacksBreakdownStatus,,,,,,,,
GET NgScoresRestController.attacksBreakdownType,,,,,,,,
GET NgOrganizationSearchRestController.getSearchResults,,,,,,,,
GET NgSecurityRestController.getIPRange,YES,,,,,,,YES
GET NgSecurityRestController.saveIPRange,YES,,,,,,,YES
GET NgSecurityRestController.removeIPRange,YES,,,,,,,YES
GET NgSecurityRestController.getOrganizationTimeouts,YES,,,,,,,YES
GET NgSecurityRestController.updateOrganizationTimeouts,YES,,,,,,,YES
GET NgSecurityRestController.getLogs,YES,,YES,,,,,YES
GET NgSecurityRestController.getAuditLogsUTC,YES,,YES,,,,,YES
GET NgSecurityCheckRestController.createSecurityCheck,,,,,,,,
GET NgDiagnosticCollectionRestController.getDiagnosticCollectionData,,,,,,,,
PUT NgDiagnosticCollectionRestController.editDiagnosticCollectionSettings,YES,,,,,,,YES
GET NgServerAttackRestController.getServerAttacks,,,,,,,,
GET NgServerBulkUpdateRestController.delete,YES,,,,,,,YES
GET NgServerBulkUpdateRestController.tag,,YES,,,,,,YES
GET NgServerBulkUpdateRestController.settingsByFilters,,YES,,,,,,YES
GET NgServerBulkUpdateRestController.settings,,YES,,,,,,YES
GET NgServerLibraryRestController.getServerLibrariesWithFilters,,,,,,,,
GET NgServerLibraryRestController.getServerLibraries,,,,,,,,
GET NgServerLibraryRestController.getLibrariesStats,,,,,,,,
GET NgServerLibraryRestController.getSbomForServer,,,,,,,,
GET NgServerLibraryRestController.getLibrariesScoreBreakdown,,,,,,,,
GET NgServerLibraryRestController.getLibrariesOutOfDateBreakdown,,,,,,,,
GET NgServerLibraryRestController.getFiltersTypes,,,,,,,,
GET NgServersRestController.getServersFilters,,,,,,,,
GET NgServersRestController.getFiltersTypes,,,,,,,,
POST NgServersRestController.getFiltersTypesV2,,,,,,,,
GET NgServersRestController.getServersByFilter,,,,,,,,
POST NgServersRestController.getServersByFilterV2,,,,,,,,
GET NgServersRestController.getServerQuickFilters,,,,,,,,
POST NgServersRestController.getServerQuickFiltersV2,,,,,,,,
GET NgServersRestController.getServersBase,,,,,,,,
GET NgServersRestController.getServersAssessAndDefend,,,,,,,,
GET NgServersRestController.serverData,,,,,,,,
GET NgServersRestController.serverLibraryBreakdown,,,,,,,,
GET NgServersRestController.getTotalAttackUrls,,,,,,,,
GET NgServersRestController.getServerSettings,,,,,,,,
GET NgServersRestController.editServerSettings,,YES,,,,,,YES
GET NgServersRestController.editServerDefenseSettings,,YES,,,,,,YES
GET NgServersRestController.editAssessSettings,YES,,,,,,,YES
GET NgServersRestController.editProtectSettings,,,,YES,,,,YES
GET NgServersRestController.updateServerEnvironment,YES,,,,,,,YES
GET NgServersRestController.deleteServer,YES,,,,,,,YES
GET NgServersRestController.getAppTracesCount,,,,,,,,
GET NgServersRestController.getServerActivityByInterval,,,,,,,,
GET NgServersRestController.getServerTypes,,,,,,,,
GET NgServersRestController.getServerProperties,,,,,,,,
GET NgServersRestController.getServerVulnerabilitySeverityBreakdown,,,,,,,,
GET NgServersRestController.getServerVulnerabilityStatusBreakdown,,,,,,,,
GET NgServersRestController.getServerVulnerabilityRuleTypeBreakdown,,,,,,,,
GET NgServersRestController.serverAttackStatusBreakdown,,,,,,,,
GET NgServersRestController.serverAttackTypeBreakdown,,,,,,,,
GET NgServersRestController.updateDisplayName,YES,,,,,,,YES
GET NgServersRestController.hasActiveServer,,,,,,,,
GET NgServersRestController.syslogDisable,,YES,,,,,,YES
GET NgServersRestController.getSyslogServerSettings,,,,,,,,
GET NgServersRestController.editSyslogServerSettings,,YES,,,,,,YES
PUT NgSuperadminAccessManagementRestController.grantSuperadminRole,,,,,,,,
DELETE NgSuperadminAccessManagementRestController.revokeSuperadminRole,,,,,,,,
GET NgSuperadminAgentFeatureRestController.updateAgentFeatureLanguages,,,,,,,,
GET NgSuperadminAgentFeatureRestController.addAgentFeatureLanguage,,,,,,,,
GET NgSuperadminAgentFeatureRestController.removeAgentFeatureLanguage,,,,,,,,
GET NgSuperadminApplicationsRestController.getApplicationsBase,,,,,,,,
GET NgSuperadminApplicationsRestController.getApplications,,,,,,,,
GET NgSuperadminApplicationsRestController.getApplicationsBaseByOrganizations,,,,,,,,
GET NgSuperadminApplicationsRestController.updateLicenseExpiration,,,,,,,,
GET NgSuperadminApplicationsRestController.updateLicenseLevel,,,,,,,,
PUT NgSuperadminApplicationsRestController.updateDisplayName,,,,,,,,
GET NgSuperadminApplicationsRestController.getApplicationsFilters,,,,,,,,
GET NgSuperadminApplicationsRestController.getFiltersTypes,,,,,,,,
DELETE NgSuperadminApplicationsRestController.deleteApplication,,,,,,,,
GET NgSuperadminCveShieldRestController.getCveShields,,,,,,,,
GET NgSuperadminLibraryRestController.getLibrariesBase,,,,,,,,
GET NgSuperadminModulesRestController.getApplicationModules,,,,,,,,
GET NgSuperadminOrganizationAgreementsRestController.getProtectOrganizationAgreement,,,,,,,,
PUT NgSuperadminOrganizationAgreementsRestController.createOrUpdateProtectOrganizationAgreement,,,,,,,,
GET NgSuperadminOrganizationApplicationsRestController.getBasicAppInfo,,,,,,,,
GET NgSuperadminOrganizationApprovalWorkflowRestController.getApprovalWorkflowConfiguration,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrganizationsBase,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrganizations,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrganization,,,,,,,,
GET NgSuperadminOrganizationsRestController.createOrganization,,,,,,,,
GET NgSuperadminOrganizationsRestController.createOrganizationRasp,,,,,,,,
GET NgSuperadminOrganizationsRestController.updateOrganization,,,,,,,,
GET NgSuperadminOrganizationsRestController.updateOrganizationRasp,,,,,,,,
GET NgSuperadminOrganizationsRestController.deleteOrganization,,,,,,,,
GET NgSuperadminOrganizationsRestController.getDefaultPasswordPolicy,,,,,,,,
GET NgSuperadminOrganizationsRestController.updateLockStatus,,,,,,,,
GET NgSuperadminOrganizationsRestController.manageOrganization,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrganizationApiKey,,,,,,,,
GET NgSuperadminOrganizationsRestController.getPasswordPolicy,,,,,,,,
GET NgSuperadminOrganizationsRestController.toggleProtection,,,,,,,,
GET NgSuperadminOrganizationsRestController.getGlobalAssessmentBreakdown,,,,,,,,
GET NgSuperadminOrganizationsRestController.getGlobalProtectionLicenseBreakdown,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrgAssessmentBreakdown,,,,,,,,
GET NgSuperadminOrganizationsRestController.getOrgProtectionLicenseBreakdown,,,,,,,,
